PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,S9,S12,S2,S16,S3,S15,S14,S10,S11,S66,S8,S1,S7,S5,S13,S4,S6,S18,S19,S20,S21,S22,S23,S24,S25,S82,S83,S84,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S17,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S26,S27,S28,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112
2760,"androstenediol (3beta,17beta) disulfate (1)",Lipid,Androgenic Steroids,37202,LC/MS Neg,100001992,3740,224.06182,,87120982,,C04295,HMDB03818,0.7498,1.0472,1.3444,3.1967,0.0581,0.1014,1.4986,12.5029,0.4986,5.2792,0.3833,0.1962,0.279,5.2673,3.1574,0.6515,3.6081,0.3139,1.04,7.5971,0.2978,2.648,1.6177,0.903,1.2915,0.2067,5.2507,6.2941,0.9581,0.3909,0.731,2.1626,0.0786,0.1164,2.417,5.1415,0.5944,0.7569,0.2534,0.1472,0.2865,1.3981,1.395,1.0208,1.6454,0.1734,0.8865,3.3117,0.1831,1.912,3.2356,0.3539,1.2029,0.0828,2.3866,5.6444,0.9515,2.0196,1.5206,5.8106,0.0835,0.1215,1.7758,7.627,0.5868,1.3378,0.271,0.2013,0.2713,2.8968,1.6379,1.0885,1.3876,0.2254,0.7985,3.1561,0.2803,2.7623,2.981,0.4284,0.9792,0.08,3.2846,6.106,0.4364,0.6361,1.0657,0.7987,0.0632,0.0417,2.3319,2.7531,0.3637,0.8389,0.5493,0.2037,0.2422,3.5794,1.5376,0.711,1.1963,0.2357,0.5392,2.9515,0.1156,1.7171,1.5783,0.3133,1.248,0.1415,3.0878,2.2829
2761,"androstenediol (3beta,17beta) disulfate (2)",Lipid,Androgenic Steroids,37203,LC/MS Neg,100001994,4065,224.0624,,87120982,,C04295,HMDB03818,0.7106,1.8019,1.0939,2.4715,0.3306,0.2397,1.0096,5.1548,0.9942,4.1623,0.5043,0.9199,0.5597,4.5184,2.4529,0.8878,1.3761,0.5493,1.4326,2.7601,0.8139,2.3478,1.6691,1.4166,0.7672,0.5222,4.6166,2.8312,1.0058,0.5327,0.7483,1.7533,0.2371,0.1517,1.8798,2.6024,1.5211,0.6295,0.3439,0.7115,0.7993,1.0454,1.2525,1.3173,0.8153,0.4972,0.9597,1.4595,0.4476,1.7272,3.8201,0.4474,0.7017,0.1383,1.9754,2.8435,0.8667,4.0759,1.9547,4.4407,0.2185,0.2757,1.3283,6.0267,1.4123,1.0742,0.573,0.7122,0.6841,1.8727,1.2419,1.6586,0.9354,0.4981,0.8168,1.2315,0.7642,2.4368,3.2117,0.8284,0.5236,0.2576,2.849,2.7593,0.5574,1.4833,1.4402,0.7498,0.1749,0.0788,1.4869,1.8029,0.7274,0.8734,0.8067,0.9,0.2957,2.9588,1.655,1.0456,0.4561,0.6427,0.4328,1.1471,0.1838,1.3402,2.7679,0.278,0.6761,0.2165,2.614,1.1483
2757,"androstenediol (3beta,17beta) monosulfate (1)",Lipid,Androgenic Steroids,37211,LC/MS Neg,100002028,4535,369.17411,521-17-5,13847309,,,HMDB03818,0.841,2.8304,4.0068,0.3371,0.0589,2.3614,1.9389,3.7838,1.601,1.9387,0.0589,1.3468,0.3492,1.3302,1.4896,0.786,1.316,0.2996,0.5965,2.7963,0.483,1.0068,1.2148,0.1896,1.1596,0.1993,5.7176,5.77,0.7697,1.4993,3.6647,0.1933,0.1571,1.0438,4.2466,10.6338,0.9255,0.6744,0.0589,1.0124,0.2452,0.343,0.5629,0.8849,1.2027,0.1911,0.6967,2.4727,0.4831,0.799,1.3477,0.0589,0.6636,0.0589,3.358,5.5889,0.2814,11.5695,10.4221,0.5681,0.0589,0.1092,1.3408,7.473,2.0237,1.3022,0.0933,2.8873,0.1701,1.812,0.6172,1.3778,0.782,0.2742,0.2463,2.0541,0.7232,0.6128,1.0737,0.1436,1.5183,0.0589,18.1139,3.7379,0.7634,6.965,2.5548,0.0589,0.0589,0.2346,1.1638,4.307,0.8731,0.67,0.1587,1.4088,0.7912,2.9321,0.9786,1.1556,0.3817,0.2215,0.3848,2.1097,0.3918,0.2585,0.7723,0.2502,0.9932,0.2703,44.7348,9.0619
2751,androsterone sulfate,Lipid,Androgenic Steroids,31591,LC/MS Neg,100001073,5022,369.17411,2479-86-9,159663,19988780,,HMDB02759,0.8816,0.7453,3.0927,2.1678,0.5167,0.6035,2.2613,2.723,0.613,0.804,0.4395,0.3935,0.1742,2.6218,4.1124,1.411,1.058,0.3611,1.2641,1.3155,1.353,0.6287,1.5624,0.2531,2.0249,0.103,7.6382,8.764,0.9322,0.4806,1.2452,1.7557,0.5117,0.6279,2.5566,1.292,1.1976,1.7393,0.3142,0.3505,0.3133,0.5509,2.5559,1.7319,0.6793,0.6825,1.0769,0.7975,1.1251,0.6829,1.21,0.1137,1.0718,0.0449,6.4229,10.613,0.9958,1.4077,3.6081,3.0481,0.5908,0.8571,1.0066,3.9578,1.0011,2.1199,0.4984,0.2271,0.3061,1.6513,3.5793,2.664,0.5228,0.4756,0.9989,0.9756,2.0467,1.0721,1.2547,0.0449,0.9127,0.0481,4.1749,9.2884,0.6465,0.8753,2.3049,1.0072,0.6972,0.497,1.1648,1.4248,0.9122,1.6733,0.8147,0.418,0.5387,1.795,1.1069,2.0684,0.7258,0.6184,0.7253,0.9941,0.5665,0.6576,0.7413,0.1862,1.4509,0.0449,3.8681,3.1597
80,anserine,Amino Acid,Histidine Metabolism,15747,LC/MS Neg,100000044,1124.8,239.11496,10030-52-1,112072,100482,C01262,HMDB00194,0.0545,4.6694,0.82,0.0545,0.0545,1.5154,11.2812,0.0545,5.9313,0.3123,0.0545,0.0545,0.1794,0.0842,0.0545,0.4108,1.2361,0.0545,0.0545,0.3195,5.2902,0.9471,0.0545,0.0545,0.0545,1,3.2427,0.0545,0.0892,1.366,0.2833,0.0545,0.0545,0.125,0.3313,5.4643,0.0545,0.2849,0.0545,9.7162,4.5994,3.1274,1.0607,0.2236,0.1719,1.0824,18.31,0.6086,16.8536,0.562,13.2096,0.1151,0.0545,6.7149,5.1713,0.2096,0.0545,0.0545,0.0545,0.0545,0.0545,0.0545,0.4857,0.0545,0.0545,0.0545,0.0545,0.0545,0.0545,1.9714,0.6061,2.1757,0.2896,0.1778,0.0545,0.7413,2.8497,0.3986,10.7853,0.0545,0.0545,0.0545,7.7363,0.3794,0.0545,13.7928,0.0545,13.3895,0.0545,6.4503,2.3381,3.0675,0.0545,19.3908,0.0545,0.7339,0.2604,0.9929,0.0545,20.9477,0.0545,0.0545,0.7019,2.3632,0.259,0.0664,12.6898,0.9623,3.1299,5.6769,0.2057,0.0962
3941,apigenin,Xenobiotics,Food Component/Plant,21189,LC/MS Neg,100000935,3845,269.04554,520-36-5,5280443,4444100,C01477,HMDB02124,0.2617,0.6959,1.8989,0.4936,0.7326,21.754,6.2974,0.0774,6.317,29.7056,0.3559,2.3314,0.9439,0.4255,0.2785,19.9378,0.0199,5.9138,0.4827,0.7743,0.6145,0.8774,0.0423,0.043,6.7547,4.0931,0.3025,3.6504,0.8377,0.5789,2.7117,0.1712,2.1297,49.1995,0.8651,0.3188,2.995,0.2122,14.339,23.4407,38.2848,4.5432,0.4225,9.7073,21.8385,0.266,38.8992,26.9627,0.1292,0.9912,61.6344,0.7236,23.199,125.8996,19.0457,9.9398,3.1768,0.3696,0.3309,0.2067,1.1138,1.4232,3.6873,0.1227,0.0879,0.0541,14.6654,8.7356,1.615,0.4196,4.0822,1.0055,0.1353,5.0297,1.7514,7.1676,0.0688,63.5841,3.8958,0.0539,44.33,1.0919,0.0323,2.9348,0.9945,0.0853,2.5004,0.4384,0.7275,61.9661,0.0424,0.2458,0.1108,0.3133,0.6984,0.8701,2.0208,39.3848,3.0504,3.5061,1.3454,0.3405,0.3342,8.116,0.2656,0.4593,4.6831,0.504,18.1891,0.8571,0.5013,17.0534
4007,apiin,Xenobiotics,Food Component/Plant,38174,LC/MS Neg,100002270,3720,563.14063,26544-34-3,16211399,17339412,C04858,,0.3573,0.1397,0.1397,0.1397,0.1397,0.2931,0.1397,0.1397,0.1397,0.7786,1.5367,0.1397,0.1397,1.0939,0.1397,3.5305,0.1397,1.38,0.1397,0.2705,0.1397,0.2714,0.1397,0.1397,0.1397,9.5511,0.1397,1.6643,1.4155,0.2343,0.5054,0.1397,0.1397,1.0921,0.1397,0.1397,0.1397,0.1397,0.8558,1.9264,0.4625,214.2981,0.1397,0.1397,0.937,4.0015,0.1784,5.2174,0.4667,0.1397,1.7739,0.1977,0.1397,161.8205,0.5643,0.1397,0.189,0.1397,0.1397,1.063,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.5684,0.2328,0.1397,0.297,1.5474,0.1397,0.1397,30.7771,0.1397,8.278,0.1397,1.465,0.1397,0.1397,0.1397,0.1397,0.1397,0.2455,0.1397,0.1397,0.1397,238.2078,0.305,1.7823,0.1397,0.1397,0.1397,0.1397,0.4655,0.3937,0.1397,19.9252,0.1397,0.1397,0.1397,0.1397,0.1397,1.7887,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397
1001,arabinose,Carbohydrate,Pentose Metabolism,575,LC/MS Polar,828,1804.5,195.05103,28697-53-2,66308,59687,C00216,HMDB00646,2.1,0.4893,1.4086,0.0247,0.79,0.8182,7.0609,0.0545,0.1982,1.0899,0.1238,2.9497,0.3073,0.0557,0.3116,0.0247,0.4008,1.1725,2.9766,0.783,1.0253,0.9988,0.0842,0.6419,0.5277,1.1491,0.9012,4.7316,1.4112,0.2083,3.5399,0.0247,1.5069,1.4883,1.0012,0.2883,0.2502,1.2662,0.0717,1.3872,1.8222,0.0774,2.3714,0.0247,0.3384,1.3261,3.3806,5.1089,2.0549,4.1803,0.8644,3.395,1.3515,0.9353,3.054,5.9384,2.5753,14.4528,0.9572,0.0247,3.8815,2.0138,2.0717,0.4347,1.8225,5.877,0.0756,0.6821,0.704,0.0989,0.9623,0.0247,0.1068,1.2811,2.3929,2.2982,0.6183,2.3576,0.7866,0.6228,0.5958,0.5394,0.8652,5.542,0.8137,0.3689,2.8013,0.0247,1.8901,1.324,1.0226,1.6825,1.7039,5.9776,0.027,0.338,0.1593,0.4659,0.1528,0.0601,0.0938,1.6064,1.4629,3.0922,1.0415,5.4005,0.1285,0.6603,0.9196,0.869,1.4282,0.7343
1016,arabitol/xylitol,Carbohydrate,Pentose Metabolism,48885,LC/MS Polar,100006430,1932.4,151.0612,,6912,,C01904,,5.4922,0.2981,0.2212,4.414,2.1644,0.9986,1.0014,1.4151,0.5328,1.6571,1.9256,0.1145,1.4914,2.2166,11.8105,0.1062,0.5318,1.6339,5.642,0.8283,0.4271,1.5854,0.0384,1.0393,1.1298,0.0826,0.1071,1.8207,1.8948,27.7032,0.6912,2.3745,0.2827,0.1582,0.6038,0.3196,0.2125,0.1107,1.403,0.2569,10.0545,1.844,8.245,0.6873,0.4812,9.0739,3.0341,2.0831,1.0908,5.582,1.1601,5.8734,1.7431,0.0574,0.2476,2.3878,0.9319,3.2745,0.055,2.7501,1.1041,1.7135,1.8895,2.4486,0.2924,5.0035,1.755,0.1039,0.3903,1.6857,0.4203,0.0384,3.6372,0.9175,5.1524,0.6943,0.3874,0.4267,1.0425,1.5377,0.3854,0.2063,0.0743,2.4806,0.501,0.0384,0.141,1.5926,2.4056,0.0384,0.147,0.5379,0.2428,0.3789,2.4834,0.2332,0.0791,6.0642,0.5174,0.0384,0.5706,2.2865,1.8798,0.1516,0.6176,25.4017,0.6781,2.2098,0.6767,0.1168,0.2331,0.7042
1018,arabonate/xylonate,Carbohydrate,Pentose Metabolism,48255,LC/MS Polar,100006115,2700,165.04046,,,,,,2.2414,0.3397,0.2707,2.676,1.6731,0.543,1.1511,0.5112,2.6628,1.6541,5.0767,0.34,1.2413,5.435,4.6605,2.8747,0.0473,0.8703,0.8273,0.6506,0.6627,2.1398,0.0848,0.3085,1.1708,0.6094,0.0623,1.0313,2.9874,0.4296,0.5513,4.1698,1.7096,0.4481,0.1899,0.0473,1.4102,0.0976,3.9236,1.1562,4.1078,2.1071,5.2839,3.3103,0.1205,3.0041,0.2381,3.8771,1,4.2133,0.3116,5.1833,1.8674,0.761,0.1491,1.3807,3.039,1.2636,0.7994,1.7421,1.2506,0.548,1.3883,1.822,2.1404,0.1919,3.1967,0.09,1.3181,1.9577,0.7972,0.9807,0.251,1.3067,1.6574,2.1625,0.5383,0.3765,2.6483,0.5868,1.0641,2.4811,0.0742,1.9537,0.6615,0.2105,0.5087,2.786,5.0068,0.1441,0.1108,0.0736,0.6678,0.3864,2.4089,0.0563,1.6399,2.7764,0.2846,3.7822,0.2866,2.1105,0.6131,0.88,0.7097,1.9656,0.7067,0.4654,0.9363,0.0609,0.0808,0.1892
1231,arachidate (20:0),Lipid,Long Chain Fatty Acid,1118,LC/MS Neg,893,6240,311.29555,506-30-9,10467,10035,C06425,HMDB02212,0.6327,2.2747,0.9848,0.6569,0.4718,2.0988,2.5218,1.1831,1.5469,0.2989,1.1072,1.5091,0.363,0.2824,1.476,1.017,0.7213,0.7141,0.311,0.205,0.3648,2.5206,3.2631,0.6329,1.2837,0.1433,1.5182,4.959,0.3459,0.3708,0.3335,0.4934,0.9595,2.3844,2.7927,1.3082,0.2186,0.9203,1.3829,0.1111,1.6754,0.6417,0.5064,0.6159,1.8123,0.3021,1.4384,0.8774,0.6113,0.9862,0.9736,0.649,2.5288,4.983,0.6844,5.8043,1.5261,2.8152,0.5849,0.8074,0.2672,1.4111,0.9372,1.079,0.2845,0.2127,1.039,1.8697,1.9076,0.6766,2.2069,2.6333,0.389,0.8188,1.5548,0.995,0.1789,2.5756,0.3489,0.5019,1.1257,4.1559,1.3466,2.6906,1.005,0.8326,0.4442,1.0175,0.7775,2.5125,1.5922,3.2961,0.4237,0.7967,1.0265,0.1007,3.5627,1.3031,0.4153,1.4157,0.4966,0.503,0.9763,1.7846,1.8502,2.2771,10.0602,1.5351,1.7804,1.8185,0.7922,1.2723
1265,arachidonate (20:4n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),1110,LC/MS Neg,229,5535,303.23295,506-32-1,444899,392692,C00219,HMDB01043,0.2696,0.2033,0.3455,1.8633,0.4241,2.5496,0.389,3.1942,0.7951,0.8403,0.2002,0.3944,0.5385,4.5642,4.1522,4.8118,4.0723,0.7075,1.0905,0.5286,2.5653,2.6184,6.1828,3.1031,0.5429,0.7296,0.7206,0.5332,0.3163,0.3915,0.2262,1.2576,1.1674,1.1058,0.799,4.4901,3.5485,0.3731,0.1215,0.1887,0.8661,1.5502,0.7713,0.8621,9.0357,0.1936,0.8023,1.3496,1.1514,1.2764,2.0182,1.4548,0.7521,1.2281,1.6095,0.3774,0.3205,1.0548,0.4695,3.1444,0.2894,1.3333,0.8982,5.1044,2.0644,0.6259,0.3586,0.545,0.4556,1.2488,0.7872,1.8591,3.014,1.0388,0.4645,1.2098,2.9802,1.3992,0.5691,5.1517,0.751,0.3919,0.5441,0.4638,0.6023,1.4831,0.342,1.572,1.1706,2.3305,4.6778,1.4535,4.7567,2.4,1.1034,0.8593,0.6042,0.8042,3.7766,1.8538,2.012,0.4814,0.5794,2.6605,3.7452,1.4623,3.9626,4.8181,0.3475,0.9612,0.9286,0.6548
1720,arachidonoyl ethanolamide,Lipid,Endocannabinoid,32463,LC/MS Pos Late,1488,1535,348.28971,94421-68-8,5281969,4445241,C11695,HMDB04080,1.2917,1,0.2476,0.5538,0.1954,4.4216,0.9182,0.1954,0.1954,1.7029,0.1954,3.7184,1.0326,0.4059,0.3561,0.5576,0.1954,0.1954,0.1954,0.3961,3.0605,1.4432,0.4266,0.1954,0.1954,2.8502,1.1234,0.271,0.346,0.1954,0.1954,0.1954,0.1954,1.7338,1.0518,0.1954,0.9961,0.2065,0.1954,1.0946,0.2574,0.6765,0.1954,0.1954,0.1954,0.1954,0.8712,0.1954,0.3565,0.1954,0.5384,0.1954,0.1954,0.5856,0.7371,0.1954,2.08,1.0782,0.1954,0.3623,0.1954,0.1954,0.4707,0.1954,1.861,0.1954,0.1954,0.979,1.5217,0.3525,0.5672,1.4704,0.1954,0.1954,0.1954,1.0075,3.9029,0.8491,9.351,0.1954,0.1954,1.3539,0.9276,0.1954,0.7581,0.2716,0.1954,0.1954,0.7056,3.0853,1.0665,0.1954,2.4107,0.1954,3.1552,0.8069,1.9543,0.1954,0.6657,1.0396,0.1954,0.1954,2.0608,0.1954,5.4108,0.1954,1.8213,4.9908,0.1954,1.5259,3.6832,0.4987
1512,arachidonoylcarnitine (C20:4),Lipid,Fatty Acid Metabolism(Acyl Carnitine),57518,LC/MS Pos Late,100015837,1353,448.34215,,,,,,0.5986,0.3292,0.3292,0.3292,0.3292,0.3523,0.7661,1.4064,0.3292,2.7274,0.3292,0.8392,0.3292,1.051,0.3292,1.8628,0.3292,0.3292,0.569,0.5843,1.1251,0.3292,0.9466,2.894,0.3292,0.3292,0.653,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,2.6058,1.7273,0.3292,0.3292,0.3292,0.3292,0.3292,1.2547,0.3292,0.3292,0.3292,0.9719,0.5692,0.3292,0.3292,0.7427,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.7642,0.3292,1.1569,0.3292,0.3292,1.2344,0.3292,0.8289,1.5094,0.3292,1.0384,0.3292,3.5684,0.9669,0.3292,0.3292,3.3499,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,0.3292,1.0281,0.3292,0.6919,0.3292,3.1869,0.4771,0.3292,0.4267,1.2498,0.3292,0.9038,0.3292,0.3292,2.3601,0.3292,0.7314,0.3292,13.0468,1.9259,0.3292,2.1449,0.7467,0.8489
1732,arachidoyl ethanolamide (20:0)*,Lipid,Endocannabinoid,57532,LC/MS Pos Late,100015853,1941,356.35231,,3787294,3015157,,,1.4817,0.4182,1.429,0.5334,0.4182,0.4182,1.6204,0.7671,0.6924,1.2034,0.8259,1.6762,0.7219,0.4182,0.828,1.0688,1.1559,1.5118,1.1223,0.7624,0.7294,1.6058,3.7535,1.3555,0.5826,1.2079,1.6613,1.0602,1.9516,0.7838,2.7619,0.7288,0.6802,1.2317,2.9779,0.853,0.7449,0.9613,0.5845,0.4182,1.8817,1.5907,0.577,0.6186,0.9577,0.4182,2.1045,0.7274,0.4182,1,1.4948,0.5537,2.5334,0.6274,3.1667,1.0123,1.6703,1.4435,1.5823,0.7489,0.7235,0.7383,1.2003,0.9527,0.5722,1.8696,0.647,1.2213,4.1656,0.9724,0.4182,0.8208,0.4182,0.7739,1.0548,0.5623,0.7563,0.8691,1.4259,0.4182,0.8153,0.9462,0.5586,1.0845,1.0586,0.9346,0.8742,0.9227,1.1475,0.5546,2.537,0.8159,1.3259,1.4623,1.2496,1.2039,3.5359,0.4182,1.6497,0.5833,0.6524,0.6866,1.4858,0.4182,1.6106,0.7522,0.7441,1.4147,1.7307,1.7913,0.7472,0.5624
1511,arachidoylcarnitine (C20)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),57513,LC/MS Pos Late,100015833,1512,456.40474,,,28639199,,HMDB06460,0.2089,0.8442,1.4651,0.5427,0.5821,22.4131,1.3665,0.202,0.202,0.9105,0.202,0.3536,1.4737,0.2822,0.6048,5.8638,5.0155,0.202,0.202,0.4817,1.3207,1.5923,1.7939,0.7426,0.75,0.8782,1.3019,1.6928,0.202,0.202,0.4319,0.7457,0.202,0.3202,1.6259,1.931,0.202,0.3306,0.202,4.1995,0.7186,0.7062,0.5574,0.202,1.3989,0.202,1.5004,0.6789,0.5358,0.202,1.4402,0.202,2.4287,0.8042,0.6431,0.4693,0.4186,0.5731,0.4218,1.1374,0.4389,0.5205,0.475,1.4506,0.9723,0.202,0.2323,1.0543,3.2806,0.4815,0.3803,0.202,1.0277,5.1034,0.2874,12.1157,0.202,1.6332,0.5523,0.8069,0.7554,0.202,0.202,0.3917,0.96,1.8054,2.507,1.0912,0.202,1.5008,1.9191,11.8915,0.9661,12.0292,0.4214,1.5127,0.8109,5.1616,1.2935,2.5645,1.6819,0.202,9.4685,1.5831,1.857,2.2754,25.6421,11.4331,0.4425,14.4897,0.7601,2.9225
405,argininate*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,57461,LC/MS Pos Early,100002769,2150,176.10297,157-07-3,160437,140984,,HMDB03148,3.3921,1.0834,1.3,0.1161,0.6697,1.6487,0.5183,0.0662,0.5623,2.2634,0.1748,4.7008,1.7687,0.1714,2.4757,0.6783,1.4236,2.8549,0.5967,0.6069,2.5709,1.3677,0.4245,1,1.7884,0.6199,2.5585,3.6821,0.6563,0.6336,1.3996,0.7824,3.1849,0.8519,0.2981,0.8113,0.3888,0.2625,0.7648,3.2745,1.9068,0.3271,4.6749,0.5577,0.4696,0.3196,1.209,0.6881,1.3894,0.0662,2.624,1.4176,3.694,0.5105,2.7453,3.7771,0.8492,1.1878,0.2029,0.2989,1.8903,0.5764,1.8897,1.1233,0.4614,0.3503,0.8564,4.2261,2.6974,0.4384,4.4927,0.5816,6.212,2.8616,1.4665,3.1787,1.9923,0.2105,5.2184,0.798,2.8246,0.2108,4.019,1.6207,0.9919,2.1392,0.2651,0.4034,1.9256,1.1041,0.2604,0.776,0.6511,1.6072,0.1968,10.7933,1.3413,0.492,12.5497,0.6124,0.077,2.4192,0.2116,0.5146,0.5216,0.3511,2.7497,1.0731,2.7658,0.8751,1.6678,0.3894
371,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1638,LC/MS Pos Early,231,2825,175.11896,1119-34-2,232,227,C00062,HMDB00517,0.0913,1.0639,0.6893,0.0476,2.7169,0.1003,0.8982,13.1808,1.9731,4.2958,3.6959,4.1669,0.2715,10.1769,1.8303,0.6667,3.7222,3.797,1.2807,1.5911,0.5589,1.1117,4.424,3.4328,3.5551,1.1879,0.8068,0.3987,0.0863,0.6656,0.3365,0.0901,0.6217,1.7327,0.2016,0.1675,1.9529,0.3653,2.4287,4.9442,0.1774,0.8532,2.2666,0.3005,3.1414,3.9338,0.2011,1.037,0.862,0.6831,3.5142,2.2475,1.0773,0.41,0.6721,0.5207,0.09,0.2052,0.5163,0.0458,0.3259,3.0664,0.3595,7.0189,1.0938,0.963,3.7753,3.1259,0.0775,5.8728,1.7413,0.1158,1.9283,4.8868,0.3539,0.9416,0.4729,0.8705,1.9273,3.883,0.8319,1.3198,2.9823,0.5498,0.6095,0.0788,0.2457,1.5624,1.1804,0.0293,0.2383,0.7173,2.6542,1.9041,4.3063,7.7547,0.1658,1.5115,1.6027,0.0689,9.4119,4.8976,0.2279,1.2667,0.218,0.8425,2.9396,4.0257,2.0775,0.6507,0.1838,0.4118
372,argininosuccinate,Amino Acid,Urea cycle; Arginine and Proline Metabolism,15497,LC/MS Neg,232,638.1,289.11536,156637-58-0,828,805,C03406,HMDB00052,0.2042,0.2042,0.2042,0.2042,0.3096,0.2042,0.2042,1.96,0.2042,0.2042,4.2865,0.2042,0.2042,0.2042,1.0896,0.8027,1.5043,0.5354,0.2042,0.2042,0.2042,0.5751,0.8943,0.2042,1.3106,0.2104,0.2042,0.2042,0.5458,0.3005,0.2042,2.6556,0.9009,0.3446,0.2042,4.0351,0.3285,0.2042,18.3238,0.2042,2.7563,1.6313,0.2042,0.2042,0.2042,0.2042,0.2042,0.6257,0.2042,0.2042,1.6252,1.425,0.7359,1,0.4604,0.2042,0.2042,0.2042,0.2042,0.2042,0.5462,0.2042,0.3971,7.6169,0.4355,0.2042,14.297,0.2042,0.2042,0.2042,0.8887,0.2042,0.2042,2.6389,0.2042,0.5424,0.6813,0.2042,0.2042,1.5311,0.5241,0.2042,0.2042,0.2042,0.2042,0.2042,0.2042,1.147,0.2042,0.2042,0.2042,4.3423,0.3442,0.2042,1.5583,1.8439,0.2042,2.1229,0.2042,0.7725,0.2042,3.2836,0.2042,0.2042,0.2042,0.2042,1.0437,2.2197,0.4021,1.0245,0.2042,0.2042
38,asparagine,Amino Acid,Alanine and Aspartate Metabolism,512,LC/MS Pos Early,917,1225,133.06077,70-47-3,6267,6031,C00152,HMDB00168,0.3553,1.9509,0.3627,0.4196,2.0229,0.6964,0.362,120.7097,2.0461,1.3513,17.7233,1.5058,1.0133,35.095,0.6788,0.9918,0.5582,7.8568,0.5254,0.6342,1.2442,1.9122,51.468,2.135,0.5782,23.965,0.928,0.3224,0.6717,0.248,0.2476,1.0383,3.0942,1.0676,0.1344,1.276,1.1617,1.037,12.6407,2.0287,1.9585,0.9131,2.1379,0.3668,0.3508,15.0382,0.3496,0.895,0.6843,4.427,1.5957,6.7172,0.8101,7.4705,0.5152,0.319,0.2037,0.3778,0.6723,0.2473,6.1352,0.3052,1.0251,30.1298,0.4046,2.9588,6.3384,2.1578,1.3036,8.1126,0.5813,0.4166,2.8346,21.3024,0.3926,1.4661,2.2189,15.0004,0.4481,1.2577,0.5123,13.277,0.758,0.1974,0.3692,0.3702,0.5688,1.2293,2.3412,0.1646,0.6902,8.4669,0.9765,4.0069,12.0093,1.9302,0.8787,0.7724,2.5911,0.5309,6.2103,5.3581,0.4994,0.9882,1.0082,0.885,0.4173,0.982,0.6047,29.7644,0.8929,0.0939
34,aspartate,Amino Acid,Alanine and Aspartate Metabolism,443,LC/MS Pos Early,234,1165,134.04479,56-84-8,5960,5745,C00049,HMDB00191,0.428,0.8998,0.9312,1.5029,0.5096,1.4393,0.6113,5.8303,1.3172,1.518,1.7868,1.2647,1.3273,5.0743,2.3352,1.0672,2.3911,3.2735,0.3873,0.7375,1.1099,1.4904,3.0561,1.0004,0.4722,0.8936,1.3393,0.4105,0.3637,0.3716,0.6565,1.2241,0.9429,0.9259,0.6495,1.6561,0.9916,0.2764,1.5744,1.2803,1.564,1.0434,0.9875,0.9719,0.7452,1.0108,0.3774,0.3936,0.8029,1.146,2.0178,1.1252,0.6315,1.3609,1.24,0.5905,0.3335,1.1105,0.8147,1.9875,0.3666,0.6079,0.379,1.615,0.7277,0.3724,1.5175,1.0631,0.9996,1.0884,0.5279,1.4704,0.9797,6.4663,0.3408,0.7971,0.9894,1.3452,1.4823,0.8097,0.546,0.6538,1.3116,0.2595,0.7199,1.5928,0.755,1.6379,0.8887,0.3608,0.884,2.2393,0.7911,0.9154,1.0771,2.9754,0.9509,1.0678,1.119,1.1533,1.9814,0.8535,1.0486,0.6653,0.8767,0.6555,2.4311,1.2768,1.1847,1.4376,1.2715,0.3146
